City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
315,Tuktoyaktuk,CA,-32.8,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
316,Solon,US,43.29,overcast clouds,41.3898,-81.4412,SpringHill Suites by Marriott Cleveland Solon
321,Ucluelet,CA,48.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
323,Matamoros,MX,56.1,clear sky,25.5333,-103.25,Quinta Belem
324,Ashland,US,44.74,overcast clouds,40.8167,-82.2665,SureStay
325,Kjollefjord,NO,24.85,clear sky,70.9457,27.3465,Hotel Nordkyn
326,Gueret,FR,50.63,few clouds,46.1667,1.8667,Hôtel Restaurant Campanile Guéret
327,Beringovskiy,RU,-20.4,clear sky,63.05,179.3167,Beringgorski
332,Darhan,MN,-1.17,overcast clouds,49.4867,105.9228,Buudai Hotel
336,Muborak,UZ,46.42,overcast clouds,39.2553,65.1528,Muborak temiryoʻl vakzali
338,Dongsheng,CN,19.78,clear sky,39.8161,109.9776,Crowne Plaza Ordos
339,Taksimo,RU,-10.7,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
340,Pueblo,US,52.41,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
343,Aklavik,CA,-23.8,light snow,68.2191,-135.0107,Aklavik Inn
351,Talnakh,RU,-3.8,overcast clouds,69.4865,88.3972,Talnakh Hotel
352,Khatanga,RU,-0.96,overcast clouds,71.9667,102.5,"""Khatanga"""
356,Muzhi,RU,-3.87,broken clouds,65.3667,64.6667,Gostinitsa
357,Bhainsa,IN,54.12,clear sky,26.9548,76.9012,Satto pawta
358,Ushtobe,KZ,27.1,light snow,45.2514,77.9838,Filipin Squad
359,Chernyshevskiy,RU,-23.91,overcast clouds,63.0128,112.4714,Chernyseyskiy
361,Manzhouli,CN,-2.43,overcast clouds,49.6,117.4333,Angala International Youth Hostel
363,La Ciotat,FR,54.55,few clouds,43.1748,5.6045,ibis La Ciotat
367,Shenavan,AM,42.31,broken clouds,40.0549,43.9288,Ծիրանի այգիներ
371,Juneau,US,45.21,overcast clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
374,Umba,RU,27.32,overcast clouds,66.6871,34.3429,Cedar Grass Beloye More
376,Khuzhir,RU,3.49,overcast clouds,53.1939,107.3397,Отель на озере Байкал Baikal View
377,Yairipok,IN,45.61,clear sky,24.6667,94.0667,UKHONGSHANG MANINGKAI CHINGCHA
378,Zhigansk,RU,-34.04,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
379,Hami,CN,27.01,overcast clouds,42.8,93.45,Laoyutang Resort
383,Salamanca,ES,56.98,clear sky,40.8333,-6.0,Palacio Carrascalino
387,Vitre,FR,43.68,scattered clouds,48.1178,-1.2058,ibis Vitré Centre
394,Yar-Sale,RU,2.46,broken clouds,66.8333,70.8333,Yalemd
397,Sovetskiy,RU,8.44,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
398,Svetlogorsk,BY,34.14,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
405,Williams Lake,CA,36.97,light rain,52.1415,-122.1445,Stampeder Motel
407,Bethel,US,44.29,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
409,Simao,CN,49.05,clear sky,22.7886,100.9748,Changyu Hotel
410,Yinchuan,CN,17.78,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
413,Kaduy,RU,28.44,overcast clouds,59.2,37.15,Hotel Oktyabrskaya
414,Nuuk,GL,20.88,overcast clouds,64.1835,-51.7216,Vandrehuset
415,Sussex,US,46.0,clear sky,41.1834,-74.6663,Top O Hill Farm - McDougals
416,Liberal,US,56.16,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
417,Mount Gambier,AU,55.31,broken clouds,-37.8333,140.7667,The Commodore
430,Lishan,CN,36.21,clear sky,31.8576,113.2951,Hongdu Hotel
431,Serebryansk,KZ,-4.29,overcast clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
432,Kulunda,RU,-9.98,scattered clouds,52.566,78.9385,Kulunda 24
433,Surt,LY,57.36,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
439,Mehamn,NO,22.91,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
444,Ostersund,SE,28.85,clear sky,63.1792,14.6357,Best Western Hotel Gamla Teatern
448,Siilinjarvi,FI,30.22,overcast clouds,63.0833,27.6667,Hotelli Sandels Oy
449,Neftcala,AZ,51.53,clear sky,39.3742,49.2472,Otel restoran
450,Leningradskiy,RU,-25.26,overcast clouds,69.3833,178.4167,Gostinitsa
