City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Pisco,PE,-13.7,-76.2167,72.01,83,20,11.5,few clouds
155,Alice Springs,AU,-23.7,133.8833,74.75,73,45,2.3,scattered clouds
156,Half Moon Bay,US,37.4636,-122.4286,68.72,48,20,6.91,few clouds
157,San Quintin,MX,30.4833,-115.95,66.81,34,99,3.29,overcast clouds
158,Tura,IN,25.5198,90.2201,56.77,65,1,4.0,clear sky
159,Kokopo,PG,-4.352,152.2633,78.37,81,83,3.89,broken clouds
160,Beloha,MG,-25.1667,45.05,74.88,80,27,4.79,scattered clouds
161,Bow Island,CA,49.8668,-111.3684,46.78,51,88,12.66,overcast clouds
162,Kharp,RU,66.8014,65.8081,-5.76,100,98,2.21,overcast clouds
163,Emerald,AU,-23.5333,148.1667,73.54,78,22,5.75,few clouds
164,Narsaq,GL,60.9167,-46.05,17.82,65,98,8.95,overcast clouds
165,Nouadhibou,MR,20.931,-17.0347,87.78,10,10,8.05,clear sky
166,Hithadhoo,MV,-0.6,73.0833,82.83,71,49,13.2,scattered clouds
167,Copperas Cove,US,31.1241,-97.9031,66.96,32,0,8.05,clear sky
168,Ambon,ID,-3.6954,128.1814,75.34,94,40,5.75,scattered clouds
169,Ulaanbaatar,MN,47.9077,106.8832,-14.67,76,0,4.47,clear sky
170,Peace River,CA,56.2501,-117.286,41.31,70,100,18.41,overcast clouds
171,Nybro,SE,56.7446,15.9071,43.61,75,74,13.62,broken clouds
172,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,74,40,9.22,scattered clouds
173,Haimen,CN,23.1935,116.6142,58.89,85,100,7.99,overcast clouds
174,Sao Sebastiao Do Paraiso,BR,-20.9169,-46.9914,72.19,84,83,4.92,broken clouds
175,San Patricio,US,28.017,-97.5169,69.89,36,0,3.13,clear sky
176,Tanout,NE,14.9709,8.8879,74.3,7,0,12.37,clear sky
177,Ponta Delgada,PT,37.7333,-25.6667,65.5,72,20,14.97,few clouds
178,Ixtapa,MX,20.7,-105.2,72.63,64,0,2.3,clear sky
179,Lebu,CL,-37.6167,-73.65,64.45,63,2,19.93,clear sky
180,Bud,US,39.447,-86.1758,50.43,60,47,12.06,scattered clouds
181,Faanui,PF,-16.4833,-151.75,81.0,77,64,15.5,broken clouds
182,Usak,TR,38.5,29.4167,27.23,74,61,10.6,broken clouds
183,Oussouye,SN,12.485,-16.5469,100.58,22,5,9.37,clear sky
184,Bealanana,MG,-14.55,48.7333,66.83,98,100,2.26,moderate rain
185,Tuatapere,NZ,-46.1333,167.6833,59.83,98,80,0.67,broken clouds
186,Miranda,CO,3.2499,-76.2281,77.13,73,94,2.59,overcast clouds
187,Roebourne,AU,-20.7833,117.1333,85.1,67,72,5.23,broken clouds
188,Sisimiut,GL,66.9395,-53.6735,15.26,95,100,16.17,snow
189,Dikson,RU,73.5069,80.5464,0.05,94,99,21.45,overcast clouds
190,Galesong,ID,-5.3166,119.3661,75.22,81,100,7.38,overcast clouds
191,Pamplona,ES,42.8169,-1.6432,51.71,70,0,2.3,clear sky
192,Doctor Arroyo,MX,23.6667,-100.1833,57.45,36,0,3.15,clear sky
193,Ongandjera,NA,-17.8833,15.0667,77.95,54,100,6.91,light rain
194,Meulaboh,ID,4.1363,96.1285,73.76,86,98,7.23,overcast clouds
195,Mount Isa,AU,-20.7333,139.5,76.77,83,3,0.0,clear sky
196,Zambezi,ZM,-13.5432,23.1047,70.0,81,98,3.09,overcast clouds
